
  0%|          | 0/1024 [00:00<?, ?it/s]
Epoch:0, iter: 22. loss: 5.0685. loss_x: 5.0685. loss_u: 0.0001. lambda_u: 0.0015. Time: 0.08:   2%|▏         | 22/1024 [00:02<01:26, 11.61it/s]
Epoch:0, iter: 23. loss: 5.0492. loss_x: 5.0492. loss_u: 0.0001. lambda_u: 0.0016. Time: 0.08:   2%|▏         | 22/1024 [00:02<01:26, 11.61it/s]
Epoch:0, iter: 24. loss: 5.0157. loss_x: 5.0157. loss_u: 0.0001. lambda_u: 0.0016. Time: 0.08:   2%|▏         | 22/1024 [00:02<01:26, 11.61it/s]
Epoch:0, iter: 24. loss: 5.0157. loss_x: 5.0157. loss_u: 0.0001. lambda_u: 0.0016. Time: 0.08:   2%|▏         | 24/1024 [00:02<01:24, 11.79it/s]
Epoch:0, iter: 25. loss: 4.9906. loss_x: 4.9906. loss_u: 0.0001. lambda_u: 0.0017. Time: 0.08:   2%|▏         | 24/1024 [00:02<01:24, 11.79it/s]
Epoch:0, iter: 26. loss: 4.9615. loss_x: 4.9615. loss_u: 0.0001. lambda_u: 0.0018. Time: 0.08:   2%|▏         | 24/1024 [00:02<01:24, 11.79it/s]
Epoch:0, iter: 26. loss: 4.9615. loss_x: 4.9615. loss_u: 0.0001. lambda_u: 0.0018. Time: 0.08:   3%|▎         | 26/1024 [00:02<01:23, 11.93it/s]
Epoch:0, iter: 27. loss: 4.9365. loss_x: 4.9365. loss_u: 0.0001. lambda_u: 0.0019. Time: 0.10:   3%|▎         | 26/1024 [00:02<01:23, 11.93it/s]
Epoch:0, iter: 28. loss: 4.9176. loss_x: 4.9176. loss_u: 0.0001. lambda_u: 0.0019. Time: 0.08:   3%|▎         | 26/1024 [00:02<01:23, 11.93it/s]
Epoch:0, iter: 28. loss: 4.9176. loss_x: 4.9176. loss_u: 0.0001. lambda_u: 0.0019. Time: 0.08:   3%|▎         | 28/1024 [00:02<01:25, 11.71it/s]
Epoch:0, iter: 29. loss: 4.8857. loss_x: 4.8857. loss_u: 0.0001. lambda_u: 0.0020. Time: 0.08:   3%|▎         | 28/1024 [00:02<01:25, 11.71it/s]
Epoch:0, iter: 30. loss: 4.8696. loss_x: 4.8696. loss_u: 0.0001. lambda_u: 0.0021. Time: 0.08:   3%|▎         | 28/1024 [00:02<01:25, 11.71it/s]
Epoch:0, iter: 30. loss: 4.8696. loss_x: 4.8696. loss_u: 0.0001. lambda_u: 0.0021. Time: 0.08:   3%|▎         | 30/1024 [00:02<01:23, 11.84it/s]
Epoch:0, iter: 31. loss: 4.8505. loss_x: 4.8505. loss_u: 0.0001. lambda_u: 0.0021. Time: 0.10:   3%|▎         | 30/1024 [00:02<01:23, 11.84it/s]
Epoch:0, iter: 32. loss: 4.8313. loss_x: 4.8313. loss_u: 0.0001. lambda_u: 0.0022. Time: 0.08:   3%|▎         | 30/1024 [00:02<01:23, 11.84it/s]
Epoch:0, iter: 32. loss: 4.8313. loss_x: 4.8313. loss_u: 0.0001. lambda_u: 0.0022. Time: 0.08:   3%|▎         | 32/1024 [00:02<01:25, 11.60it/s]
Epoch:0, iter: 33. loss: 4.8023. loss_x: 4.8023. loss_u: 0.0001. lambda_u: 0.0023. Time: 0.08:   3%|▎         | 32/1024 [00:02<01:25, 11.60it/s]
Epoch:0, iter: 34. loss: 4.7756. loss_x: 4.7756. loss_u: 0.0001. lambda_u: 0.0024. Time: 0.12:   3%|▎         | 32/1024 [00:03<01:25, 11.60it/s]
Epoch:0, iter: 34. loss: 4.7756. loss_x: 4.7756. loss_u: 0.0001. lambda_u: 0.0024. Time: 0.12:   3%|▎         | 34/1024 [00:03<01:29, 11.02it/s]
Epoch:0, iter: 35. loss: 4.7521. loss_x: 4.7521. loss_u: 0.0001. lambda_u: 0.0024. Time: 0.08:   3%|▎         | 34/1024 [00:03<01:29, 11.02it/s]
Epoch:0, iter: 36. loss: 4.7239. loss_x: 4.7239. loss_u: 0.0001. lambda_u: 0.0025. Time: 0.08:   3%|▎         | 34/1024 [00:03<01:29, 11.02it/s]
Epoch:0, iter: 36. loss: 4.7239. loss_x: 4.7239. loss_u: 0.0001. lambda_u: 0.0025. Time: 0.08:   4%|▎         | 36/1024 [00:03<01:27, 11.29it/s]
Epoch:0, iter: 37. loss: 4.7064. loss_x: 4.7064. loss_u: 0.0001. lambda_u: 0.0026. Time: 0.09:   4%|▎         | 36/1024 [00:03<01:27, 11.29it/s]
Epoch:0, iter: 38. loss: 4.6780. loss_x: 4.6780. loss_u: 0.0001. lambda_u: 0.0026. Time: 0.08:   4%|▎         | 36/1024 [00:03<01:27, 11.29it/s]
Epoch:0, iter: 38. loss: 4.6780. loss_x: 4.6780. loss_u: 0.0001. lambda_u: 0.0026. Time: 0.08:   4%|▎         | 38/1024 [00:03<01:26, 11.45it/s]
Epoch:0, iter: 39. loss: 4.6550. loss_x: 4.6550. loss_u: 0.0001. lambda_u: 0.0027. Time: 0.09:   4%|▎         | 38/1024 [00:03<01:26, 11.45it/s]
Epoch:0, iter: 40. loss: 4.6473. loss_x: 4.6473. loss_u: 0.0002. lambda_u: 0.0028. Time: 0.08:   4%|▎         | 38/1024 [00:03<01:26, 11.45it/s]
Epoch:0, iter: 40. loss: 4.6473. loss_x: 4.6473. loss_u: 0.0002. lambda_u: 0.0028. Time: 0.08:   4%|▍         | 40/1024 [00:03<01:26, 11.44it/s]
Epoch:0, iter: 41. loss: 4.6374. loss_x: 4.6374. loss_u: 0.0002. lambda_u: 0.0029. Time: 0.08:   4%|▍         | 40/1024 [00:03<01:26, 11.44it/s]
Epoch:0, iter: 42. loss: 4.6117. loss_x: 4.6117. loss_u: 0.0002. lambda_u: 0.0029. Time: 0.08:   4%|▍         | 40/1024 [00:03<01:26, 11.44it/s]
Epoch:0, iter: 42. loss: 4.6117. loss_x: 4.6117. loss_u: 0.0002. lambda_u: 0.0029. Time: 0.08:   4%|▍         | 42/1024 [00:03<01:24, 11.61it/s]
Epoch:0, iter: 43. loss: 4.6028. loss_x: 4.6028. loss_u: 0.0002. lambda_u: 0.0030. Time: 0.08:   4%|▍         | 42/1024 [00:03<01:24, 11.61it/s]
Epoch:0, iter: 44. loss: 4.5839. loss_x: 4.5839. loss_u: 0.0002. lambda_u: 0.0031. Time: 0.08:   4%|▍         | 42/1024 [00:03<01:24, 11.61it/s]
Epoch:0, iter: 44. loss: 4.5839. loss_x: 4.5839. loss_u: 0.0002. lambda_u: 0.0031. Time: 0.08:   4%|▍         | 44/1024 [00:03<01:23, 11.79it/s]
Epoch:0, iter: 45. loss: 4.5593. loss_x: 4.5593. loss_u: 0.0002. lambda_u: 0.0031. Time: 0.08:   4%|▍         | 44/1024 [00:04<01:23, 11.79it/s]
Epoch:0, iter: 46. loss: 4.5297. loss_x: 4.5297. loss_u: 0.0002. lambda_u: 0.0032. Time: 0.08:   4%|▍         | 44/1024 [00:04<01:23, 11.79it/s]
Epoch:0, iter: 46. loss: 4.5297. loss_x: 4.5297. loss_u: 0.0002. lambda_u: 0.0032. Time: 0.08:   4%|▍         | 46/1024 [00:04<01:22, 11.91it/s]
Epoch:0, iter: 47. loss: 4.5050. loss_x: 4.5050. loss_u: 0.0002. lambda_u: 0.0033. Time: 0.08:   4%|▍         | 46/1024 [00:04<01:22, 11.91it/s]
Epoch:0, iter: 48. loss: 4.4834. loss_x: 4.4834. loss_u: 0.0002. lambda_u: 0.0034. Time: 0.08:   4%|▍         | 46/1024 [00:04<01:22, 11.91it/s]
Epoch:0, iter: 48. loss: 4.4834. loss_x: 4.4834. loss_u: 0.0002. lambda_u: 0.0034. Time: 0.08:   5%|▍         | 48/1024 [00:04<01:21, 11.98it/s]
Epoch:0, iter: 49. loss: 4.4683. loss_x: 4.4683. loss_u: 0.0002. lambda_u: 0.0034. Time: 0.08:   5%|▍         | 48/1024 [00:04<01:21, 11.98it/s]
Epoch:0, iter: 50. loss: 4.4539. loss_x: 4.4539. loss_u: 0.0002. lambda_u: 0.0035. Time: 0.08:   5%|▍         | 48/1024 [00:04<01:21, 11.98it/s]
Epoch:0, iter: 50. loss: 4.4539. loss_x: 4.4539. loss_u: 0.0002. lambda_u: 0.0035. Time: 0.08:   5%|▍         | 50/1024 [00:04<01:21, 11.99it/s]
Epoch:0, iter: 51. loss: 4.4280. loss_x: 4.4280. loss_u: 0.0002. lambda_u: 0.0036. Time: 0.08:   5%|▍         | 50/1024 [00:04<01:21, 11.99it/s]
Epoch:0, iter: 52. loss: 4.4139. loss_x: 4.4139. loss_u: 0.0003. lambda_u: 0.0036. Time: 0.08:   5%|▍         | 50/1024 [00:04<01:21, 11.99it/s]
Epoch:0, iter: 52. loss: 4.4139. loss_x: 4.4139. loss_u: 0.0003. lambda_u: 0.0036. Time: 0.08:   5%|▌         | 52/1024 [00:04<01:20, 12.06it/s]
Epoch:0, iter: 53. loss: 4.3874. loss_x: 4.3874. loss_u: 0.0003. lambda_u: 0.0037. Time: 0.08:   5%|▌         | 52/1024 [00:04<01:20, 12.06it/s]
Epoch:0, iter: 54. loss: 4.3627. loss_x: 4.3627. loss_u: 0.0003. lambda_u: 0.0038. Time: 0.08:   5%|▌         | 52/1024 [00:04<01:20, 12.06it/s]
Epoch:0, iter: 54. loss: 4.3627. loss_x: 4.3627. loss_u: 0.0003. lambda_u: 0.0038. Time: 0.08:   5%|▌         | 54/1024 [00:04<01:20, 12.02it/s]
Epoch:0, iter: 55. loss: 4.3307. loss_x: 4.3307. loss_u: 0.0003. lambda_u: 0.0039. Time: 0.08:   5%|▌         | 54/1024 [00:04<01:20, 12.02it/s]
Epoch:0, iter: 56. loss: 4.3034. loss_x: 4.3034. loss_u: 0.0003. lambda_u: 0.0039. Time: 0.10:   5%|▌         | 54/1024 [00:04<01:20, 12.02it/s]
Epoch:0, iter: 56. loss: 4.3034. loss_x: 4.3034. loss_u: 0.0003. lambda_u: 0.0039. Time: 0.10:   5%|▌         | 56/1024 [00:04<01:22, 11.77it/s]
Epoch:0, iter: 57. loss: 4.2904. loss_x: 4.2904. loss_u: 0.0003. lambda_u: 0.0040. Time: 0.08:   5%|▌         | 56/1024 [00:05<01:22, 11.77it/s]
Epoch:0, iter: 58. loss: 4.2729. loss_x: 4.2729. loss_u: 0.0003. lambda_u: 0.0041. Time: 0.11:   5%|▌         | 56/1024 [00:05<01:22, 11.77it/s]
Epoch:0, iter: 58. loss: 4.2729. loss_x: 4.2729. loss_u: 0.0003. lambda_u: 0.0041. Time: 0.11:   6%|▌         | 58/1024 [00:05<01:24, 11.38it/s]
Epoch:0, iter: 59. loss: 4.2480. loss_x: 4.2480. loss_u: 0.0003. lambda_u: 0.0041. Time: 0.08:   6%|▌         | 58/1024 [00:05<01:24, 11.38it/s]
Epoch:0, iter: 60. loss: 4.2336. loss_x: 4.2336. loss_u: 0.0003. lambda_u: 0.0042. Time: 0.08:   6%|▌         | 58/1024 [00:05<01:24, 11.38it/s]
Epoch:0, iter: 60. loss: 4.2336. loss_x: 4.2336. loss_u: 0.0003. lambda_u: 0.0042. Time: 0.08:   6%|▌         | 60/1024 [00:05<01:23, 11.57it/s]
Epoch:0, iter: 61. loss: 4.2095. loss_x: 4.2095. loss_u: 0.0003. lambda_u: 0.0043. Time: 0.08:   6%|▌         | 60/1024 [00:05<01:23, 11.57it/s]
Epoch:0, iter: 62. loss: 4.1838. loss_x: 4.1838. loss_u: 0.0003. lambda_u: 0.0044. Time: 0.08:   6%|▌         | 60/1024 [00:05<01:23, 11.57it/s]
Epoch:0, iter: 62. loss: 4.1838. loss_x: 4.1838. loss_u: 0.0003. lambda_u: 0.0044. Time: 0.08:   6%|▌         | 62/1024 [00:05<01:22, 11.71it/s]
Epoch:0, iter: 63. loss: 4.1689. loss_x: 4.1689. loss_u: 0.0003. lambda_u: 0.0044. Time: 0.08:   6%|▌         | 62/1024 [00:05<01:22, 11.71it/s]
Epoch:0, iter: 64. loss: 4.1442. loss_x: 4.1442. loss_u: 0.0004. lambda_u: 0.0045. Time: 0.09:   6%|▌         | 62/1024 [00:05<01:22, 11.71it/s]
Epoch:0, iter: 64. loss: 4.1442. loss_x: 4.1442. loss_u: 0.0004. lambda_u: 0.0045. Time: 0.09:   6%|▋         | 64/1024 [00:05<01:22, 11.59it/s]
Epoch:0, iter: 65. loss: 4.1193. loss_x: 4.1193. loss_u: 0.0004. lambda_u: 0.0046. Time: 0.10:   6%|▋         | 64/1024 [00:05<01:22, 11.59it/s]
Epoch:0, iter: 66. loss: 4.0913. loss_x: 4.0913. loss_u: 0.0004. lambda_u: 0.0046. Time: 0.08:   6%|▋         | 64/1024 [00:05<01:22, 11.59it/s]
Epoch:0, iter: 66. loss: 4.0913. loss_x: 4.0913. loss_u: 0.0004. lambda_u: 0.0046. Time: 0.08:   6%|▋         | 66/1024 [00:05<01:23, 11.45it/s]
Epoch:0, iter: 67. loss: 4.0750. loss_x: 4.0750. loss_u: 0.0004. lambda_u: 0.0047. Time: 0.08:   6%|▋         | 66/1024 [00:05<01:23, 11.45it/s]
Epoch:0, iter: 68. loss: 4.0571. loss_x: 4.0571. loss_u: 0.0004. lambda_u: 0.0048. Time: 0.08:   6%|▋         | 66/1024 [00:05<01:23, 11.45it/s]
Epoch:0, iter: 68. loss: 4.0571. loss_x: 4.0571. loss_u: 0.0004. lambda_u: 0.0048. Time: 0.08:   7%|▋         | 68/1024 [00:05<01:22, 11.65it/s]
Epoch:0, iter: 69. loss: 4.0437. loss_x: 4.0437. loss_u: 0.0004. lambda_u: 0.0049. Time: 0.08:   7%|▋         | 68/1024 [00:06<01:22, 11.65it/s]
Epoch:0, iter: 70. loss: 4.0308. loss_x: 4.0308. loss_u: 0.0004. lambda_u: 0.0049. Time: 0.08:   7%|▋         | 68/1024 [00:06<01:22, 11.65it/s]
Epoch:0, iter: 70. loss: 4.0308. loss_x: 4.0308. loss_u: 0.0004. lambda_u: 0.0049. Time: 0.08:   7%|▋         | 70/1024 [00:06<01:20, 11.78it/s]
Epoch:0, iter: 71. loss: 4.0203. loss_x: 4.0203. loss_u: 0.0004. lambda_u: 0.0050. Time: 0.08:   7%|▋         | 70/1024 [00:06<01:20, 11.78it/s]
Epoch:0, iter: 72. loss: 3.9946. loss_x: 3.9946. loss_u: 0.0004. lambda_u: 0.0051. Time: 0.08:   7%|▋         | 70/1024 [00:06<01:20, 11.78it/s]
Epoch:0, iter: 72. loss: 3.9946. loss_x: 3.9946. loss_u: 0.0004. lambda_u: 0.0051. Time: 0.08:   7%|▋         | 72/1024 [00:06<01:20, 11.86it/s]
Epoch:0, iter: 73. loss: 3.9733. loss_x: 3.9733. loss_u: 0.0004. lambda_u: 0.0051. Time: 0.10:   7%|▋         | 72/1024 [00:06<01:20, 11.86it/s]
Epoch:0, iter: 74. loss: 3.9634. loss_x: 3.9634. loss_u: 0.0004. lambda_u: 0.0052. Time: 0.10:   7%|▋         | 72/1024 [00:06<01:20, 11.86it/s]
Epoch:0, iter: 74. loss: 3.9634. loss_x: 3.9634. loss_u: 0.0004. lambda_u: 0.0052. Time: 0.10:   7%|▋         | 74/1024 [00:06<01:24, 11.20it/s]
Epoch:0, iter: 75. loss: 3.9514. loss_x: 3.9514. loss_u: 0.0004. lambda_u: 0.0053. Time: 0.10:   7%|▋         | 74/1024 [00:06<01:24, 11.20it/s]
Epoch:0, iter: 76. loss: 3.9363. loss_x: 3.9363. loss_u: 0.0004. lambda_u: 0.0054. Time: 0.08:   7%|▋         | 74/1024 [00:06<01:24, 11.20it/s]
Epoch:0, iter: 76. loss: 3.9363. loss_x: 3.9363. loss_u: 0.0004. lambda_u: 0.0054. Time: 0.08:   7%|▋         | 76/1024 [00:06<01:24, 11.17it/s]
Epoch:0, iter: 77. loss: 3.9205. loss_x: 3.9205. loss_u: 0.0004. lambda_u: 0.0054. Time: 0.09:   7%|▋         | 76/1024 [00:06<01:24, 11.17it/s]
Epoch:0, iter: 78. loss: 3.8972. loss_x: 3.8972. loss_u: 0.0004. lambda_u: 0.0055. Time: 0.09:   7%|▋         | 76/1024 [00:06<01:24, 11.17it/s]
Epoch:0, iter: 78. loss: 3.8972. loss_x: 3.8972. loss_u: 0.0004. lambda_u: 0.0055. Time: 0.09:   8%|▊         | 78/1024 [00:06<01:25, 11.07it/s]
Epoch:0, iter: 79. loss: 3.8853. loss_x: 3.8853. loss_u: 0.0004. lambda_u: 0.0056. Time: 0.10:   8%|▊         | 78/1024 [00:06<01:25, 11.07it/s]
Epoch:0, iter: 80. loss: 3.8729. loss_x: 3.8729. loss_u: 0.0004. lambda_u: 0.0057. Time: 0.08:   8%|▊         | 78/1024 [00:07<01:25, 11.07it/s]
Epoch:0, iter: 80. loss: 3.8729. loss_x: 3.8729. loss_u: 0.0004. lambda_u: 0.0057. Time: 0.08:   8%|▊         | 80/1024 [00:07<01:25, 10.98it/s]
Epoch:0, iter: 81. loss: 3.8629. loss_x: 3.8629. loss_u: 0.0004. lambda_u: 0.0057. Time: 0.09:   8%|▊         | 80/1024 [00:07<01:25, 10.98it/s]
Epoch:0, iter: 82. loss: 3.8537. loss_x: 3.8537. loss_u: 0.0004. lambda_u: 0.0058. Time: 0.08:   8%|▊         | 80/1024 [00:07<01:25, 10.98it/s]
Epoch:0, iter: 82. loss: 3.8537. loss_x: 3.8537. loss_u: 0.0004. lambda_u: 0.0058. Time: 0.08:   8%|▊         | 82/1024 [00:07<01:24, 11.16it/s]
Epoch:0, iter: 83. loss: 3.8449. loss_x: 3.8449. loss_u: 0.0005. lambda_u: 0.0059. Time: 0.08:   8%|▊         | 82/1024 [00:07<01:24, 11.16it/s]
Epoch:0, iter: 84. loss: 3.8354. loss_x: 3.8354. loss_u: 0.0005. lambda_u: 0.0059. Time: 0.09:   8%|▊         | 82/1024 [00:07<01:24, 11.16it/s]
Epoch:0, iter: 84. loss: 3.8354. loss_x: 3.8354. loss_u: 0.0005. lambda_u: 0.0059. Time: 0.09:   8%|▊         | 84/1024 [00:07<01:23, 11.22it/s]
Epoch:0, iter: 85. loss: 3.8132. loss_x: 3.8132. loss_u: 0.0005. lambda_u: 0.0060. Time: 0.09:   8%|▊         | 84/1024 [00:07<01:23, 11.22it/s]
Epoch:0, iter: 86. loss: 3.7959. loss_x: 3.7959. loss_u: 0.0005. lambda_u: 0.0061. Time: 0.08:   8%|▊         | 84/1024 [00:07<01:23, 11.22it/s]
Epoch:0, iter: 86. loss: 3.7959. loss_x: 3.7959. loss_u: 0.0005. lambda_u: 0.0061. Time: 0.08:   8%|▊         | 86/1024 [00:07<01:23, 11.27it/s]
Epoch:0, iter: 87. loss: 3.7710. loss_x: 3.7710. loss_u: 0.0005. lambda_u: 0.0062. Time: 0.10:   8%|▊         | 86/1024 [00:07<01:23, 11.27it/s]
Epoch:0, iter: 88. loss: 3.7603. loss_x: 3.7603. loss_u: 0.0005. lambda_u: 0.0062. Time: 0.08:   8%|▊         | 86/1024 [00:07<01:23, 11.27it/s]
Epoch:0, iter: 88. loss: 3.7603. loss_x: 3.7603. loss_u: 0.0005. lambda_u: 0.0062. Time: 0.08:   9%|▊         | 88/1024 [00:07<01:24, 11.11it/s]
Epoch:0, iter: 89. loss: 3.7468. loss_x: 3.7468. loss_u: 0.0005. lambda_u: 0.0063. Time: 0.08:   9%|▊         | 88/1024 [00:07<01:24, 11.11it/s]
Epoch:0, iter: 90. loss: 3.7268. loss_x: 3.7268. loss_u: 0.0005. lambda_u: 0.0064. Time: 0.08:   9%|▊         | 88/1024 [00:07<01:24, 11.11it/s]
Epoch:0, iter: 90. loss: 3.7268. loss_x: 3.7268. loss_u: 0.0005. lambda_u: 0.0064. Time: 0.08:   9%|▉         | 90/1024 [00:07<01:21, 11.41it/s]
Epoch:0, iter: 91. loss: 3.7126. loss_x: 3.7126. loss_u: 0.0005. lambda_u: 0.0064. Time: 0.08:   9%|▉         | 90/1024 [00:08<01:21, 11.41it/s]
Epoch:0, iter: 92. loss: 3.6889. loss_x: 3.6889. loss_u: 0.0005. lambda_u: 0.0065. Time: 0.08:   9%|▉         | 90/1024 [00:08<01:21, 11.41it/s]
Epoch:0, iter: 92. loss: 3.6889. loss_x: 3.6889. loss_u: 0.0005. lambda_u: 0.0065. Time: 0.08:   9%|▉         | 92/1024 [00:08<01:20, 11.60it/s]
Epoch:0, iter: 93. loss: 3.6769. loss_x: 3.6769. loss_u: 0.0005. lambda_u: 0.0066. Time: 0.08:   9%|▉         | 92/1024 [00:08<01:20, 11.60it/s]
Epoch:0, iter: 94. loss: 3.6642. loss_x: 3.6642. loss_u: 0.0005. lambda_u: 0.0067. Time: 0.08:   9%|▉         | 92/1024 [00:08<01:20, 11.60it/s]
Epoch:0, iter: 94. loss: 3.6642. loss_x: 3.6642. loss_u: 0.0005. lambda_u: 0.0067. Time: 0.08:   9%|▉         | 94/1024 [00:08<01:19, 11.72it/s]
Epoch:0, iter: 95. loss: 3.6530. loss_x: 3.6530. loss_u: 0.0005. lambda_u: 0.0067. Time: 0.08:   9%|▉         | 94/1024 [00:08<01:19, 11.72it/s]
Epoch:0, iter: 96. loss: 3.6423. loss_x: 3.6423. loss_u: 0.0005. lambda_u: 0.0068. Time: 0.08:   9%|▉         | 94/1024 [00:08<01:19, 11.72it/s]
Epoch:0, iter: 96. loss: 3.6423. loss_x: 3.6423. loss_u: 0.0005. lambda_u: 0.0068. Time: 0.08:   9%|▉         | 96/1024 [00:08<01:18, 11.86it/s]
